Timestamps,R715,R619,B113s,Date
2018-04-14 0:54,0,0.17,0.08,2018-04-14
2018-04-14 1:54,3.64,6.04,1.93,2018/04/14
2018-04-14 2:54,5.53,8.76,2.9,2018/04/14
2018-04-14 3:54,7.3,11.46,3.87,2018/04/14
2018-04-14 4:54,9.13,14.86,4.85,2018/04/14
2018-04-14 5:54,10.98,17.63,5.82,2018/04/14
2018-04-14 6:54,12.57,20.36,6.79,2018/04/14
2018-04-14 7:54,14.39,23.39,7.76,2018/04/14
2018-04-14 8:54,15.93,26.55,8.72,2018/04/14
2018-04-14 9:54,18.54,29.3,9.71,2018/04/14
2018-04-14 10:54,20.46,32.12,10.98,2018/04/14
2018-04-14 11:54,22.46,36.4,12.06,2018/04/14
2018-04-14 12:54,24.62,41.01,13.21,2018/04/14
2018-04-14 13:54,26.25,44.13,14.5,2018/04/14
2018-04-14 14:54,29.03,48.62,15.78,2018/04/14
2018-04-14 15:54,31.39,53.06,17.08,2018/04/14
2018-04-14 16:54,33.35,56.15,18.36,2018/04/14
2018-04-14 17:54,35.36,58.15,19.63,2018/04/14
2018-04-14 18:54,37.3,60.87,20.9,2018/04/14
2018-04-14 19:54,38.93,64.08,22.17,2018/04/14
2018-04-14 20:54,41.14,67.08,23.44,2018/04/14
2018-04-14 21:54,42.44,70.52,24.72,2018/04/14
2018-04-14 22:54,44.41,72.97,26,2018/04/14
2018-04-14 23:54,0,0,0,2018/04/14
2018-04-15 0:24,0.87,0.67,0.42,2018/04/15
2018-04-15 0:54,0.87,0.67,0.42,2018/04/15
2018-04-15 1:54,2.66,3.29,1.71,2018/04/15
2018-04-15 2:54,5.09,7.97,3.85,2018/04/15
2018-04-15 3:54,6.52,10.95,5.14,2018/04/15
2018-04-15 4:54,8.15,13.55,6.43,2018/04/15
2018-04-15 5:54,9.64,16.2,7.72,2018/04/15
2018-04-15 6:54,11.01,19.33,9,2018/04/15
2018-04-15 7:54,12.11,22.09,10.28,2018/04/15
2018-04-15 8:54,13.71,24.68,11.56,2018/04/15
2018-04-15 9:54,15.29,27.26,12.84,2018/04/15
2018-04-15 10:54,16.38,29.86,14.11,2018/04/15
2018-04-15 11:54,17.9,33.71,15.38,2018/04/15
2018-04-15 12:54,19.07,37.62,16.65,2018/04/15
2018-04-15 13:54,20.4,41.32,17.92,2018/04/15
2018-04-15 14:54,21.66,44.23,19.19,2018/04/15
2018-04-15 15:54,22.75,47.44,20.47,2018/04/15
2018-04-15 16:54,24.26,50.69,21.74,2018/04/15
2018-04-15 17:54,25.39,53.72,23.01,2018/04/15
2018-04-15 18:54,26.86,56.75,24.28,2018/04/15
2018-04-15 19:54,27.91,60.11,25.55,2018/04/15
2018-04-15 20:54,29.36,63.31,26.83,2018/04/15
2018-04-15 21:54,30.36,66.36,28.1,2018/04/15
2018-04-15 22:54,31.53,69.17,29.17,2018/04/15
2018-04-15 23:08,31.53,69.17,29.17,2018/04/15
2018-04-15 23:54,---,0,0,2018/04/15
2018-04-16 0:54,0.38,1.19,0.42,2018/04/16
2018-04-16 1:54,1.51,3.75,1.71,2018/04/16
2018-04-16 2:57,2.56,6.28,2.99,2018/04/16
2018-04-16 3:54,3.75,8.81,4.28,2018/04/16
2018-04-16 4:40,4.79,11.77,5.57,2018/04/16
2018-04-16 4:54,4.79,11.77,5.57,2018/04/16
2018-04-16 5:54,5.93,14.28,6.86,2018/04/16
2018-04-16 6:54,7.83,19.07,9,2018/04/16
2018-04-16 7:54,8.84,22,10.28,2018/04/16
2018-04-16 8:54,9.99,24.5,11.54,2018/04/16
2018-04-16 9:54,11,27.42,12.81,2018/04/16
2018-04-16 10:54,12.08,30.03,14.3,2018/04/16
2018-04-16 11:54,13.28,33.35,15.61,2018/04/16
2018-04-16 12:54,14.55,37.1,16.89,2018/04/16
2018-04-16 13:54,15.58,40.93,18.05,2018/04/16
2018-04-16 14:54,17.21,44.82,19.31,2018/04/16
2018-04-16 15:54,18.34,48,20.77,2018/04/16
2018-04-16 16:54,19.79,51.22,22.16,2018/04/16
2018-04-16 17:54,20.87,54.61,23.53,2018/04/16
2018-04-16 18:54,21.97,57.87,24.91,2018/04/16
2018-04-16 19:54,23,61.16,26.08,2018/04/16
2018-04-16 20:54,24.04,64.11,27.24,2018/04/16
2018-04-16 21:54,25.16,66.96,28.41,2018/04/16
2018-04-16 22:54,26.25,69.83,29.58,2018/04/16
2018-04-16 23:54,---,0,0,2018/04/16
2018-04-17 0:54,0.96,2.9,1.17,2018/04/17
2018-04-17 1:54,1.81,5.57,2.35,2018/04/17
2018-04-17 2:54,2.87,8.38,3.52,2018/04/17
2018-04-17 3:54,3.9,11.2,4.69,2018/04/17
2018-04-17 4:54,5.01,14.03,5.86,2018/04/17
2018-04-17 5:54,5.77,16.86,7.03,2018/04/17
2018-04-17 6:54,6.87,19.68,8.2,2018/04/17
2018-04-17 7:54,7.85,22.51,9.36,2018/04/17
2018-04-17 8:54,9,25.34,10.52,2018/04/17
2018-04-17 9:54,9.77,28.35,11.68,2018/04/17
2018-04-17 10:54,10.81,31.73,12.84,2018/04/17
2018-04-17 11:54,11.84,35.3,14,2018/04/17
2018-04-17 12:54,13.11,38.74,15.16,2018/04/17
2018-04-17 13:54,14.95,42.54,16.32,2018/04/17
2018-04-17 14:54,16.96,46.13,17.48,2018/04/17
2018-04-17 15:54,18.99,49.28,18.64,2018/04/17
2018-04-17 16:54,20.76,52.73,19.88,2018/04/17
2018-04-17 17:54,22.97,55.82,21.08,2018/04/17
2018-04-17 18:54,25.37,59.23,22.32,2018/04/17
2018-04-17 19:54,27.18,62.78,23.25,2018/04/17
2018-04-17 20:54,28.86,65.92,24.23,2018/04/17
2018-04-17 21:54,30.78,68.82,25.16,2018/04/17
2018-04-17 22:54,32.91,71.9,26.36,2018/04/17
2018-04-17 23:54,---,0,0,2018/04/17
2018-04-18 0:54,1.06,3.4,1.18,2018/04/18
2018-04-18 1:54,1.79,5.84,2.35,2018/04/18
2018-04-18 2:54,2.59,9.25,3.53,2018/04/18
2018-04-18 3:54,3.62,11.68,4.7,2018/04/18
2018-04-18 4:54,4.39,14.34,5.88,2018/04/18
2018-04-18 5:54,5.25,17.18,7.05,2018/04/18
2018-04-18 6:54,6.19,20.1,8.23,2018/04/18
2018-04-18 7:54,6.9,22.86,9.4,2018/04/18
2018-04-18 8:54,8,25.91,10.57,2018/04/18
2018-04-18 9:54,9.12,28.74,11.77,2018/04/18
2018-04-18 10:54,10.11,31.76,12.96,2018/04/18
2018-04-18 11:54,11.41,34.99,13.91,2018/04/18
2018-04-18 12:54,12.58,37.79,14.86,2018/04/18
2018-04-18 13:54,13.92,41.22,15.81,2018/04/18
2018-04-18 14:54,15.22,44.41,16.75,2018/04/18
2018-04-18 15:54,16.41,49.83,17.7,2018/04/18
2018-04-18 16:54,17.43,54.35,18.64,2018/04/18
2018-04-18 17:54,18.61,57.26,19.59,2018/04/18
2018-04-18 18:54,19.68,60.28,20.54,2018/04/18
2018-04-18 19:54,20.54,63.33,21.52,2018/04/18
2018-04-18 20:54,21.53,66.39,22.5,2018/04/18
2018-04-18 21:54,22.65,69.4,23.45,2018/04/18
2018-04-18 22:54,23.67,72.48,24.4,2018/04/18
2018-04-18 23:54,---,0,0,2018/04/18
2018-04-19 0:54,1.06,3.14,0.95,2018/04/19
2018-04-19 1:54,2.05,6.31,1.91,2018/04/19
2018-04-19 2:54,3.27,9.52,2.86,2018/04/19
2018-04-19 3:54,4.41,12.34,3.82,2018/04/19
2018-04-19 4:54,5.58,15.47,4.78,2018/04/19
2018-04-19 5:54,6.7,18.7,5.73,2018/04/19
2018-04-19 6:54,7.71,21.87,6.68,2018/04/19
2018-04-19 7:54,8.9,25.12,7.62,2018/04/19
2018-04-19 8:54,10.12,28.41,8.57,2018/04/19
2018-04-19 9:54,11.57,31.42,9.52,2018/04/19
2018-04-19 10:54,12.62,34.27,10.92,2018/04/19
2018-04-19 11:54,13.65,37.39,12.4,2018/04/19
2018-04-19 12:54,14.93,40.62,13.88,2018/04/19
2018-04-19 13:54,16.4,44.18,15.31,2018/04/19
2018-04-19 14:54,17.44,47,16.71,2018/04/19
2018-04-19 15:54,18.8,50.03,18.18,2018/04/19
2018-04-19 16:54,20.27,53.49,19.63,2018/04/19
2018-04-19 17:54,21.8,56.66,21.06,2018/04/19
2018-04-19 18:54,22.93,59.68,22.34,2018/04/19
2018-04-19 19:54,24.01,62.72,23.53,2018/04/19
2018-04-19 20:54,25.6,65.28,25,2018/04/19
2018-04-19 21:54,26.62,69.23,26.23,2018/04/19
2018-04-19 22:54,28.26,72.89,27.4,2018/04/19
2018-04-19 23:54,---,0,0,2018/04/19
2018-04-20 0:54,1.04,3.51,1.18,2018/04/20
2018-04-20 1:54,2.16,6.66,2.36,2018/04/20
2018-04-20 2:54,3.72,8.91,3.55,2018/04/20
2018-04-20 3:54,4.88,12.37,4.63,2018/04/20
2018-04-20 4:54,6.31,14.82,5.81,2018/04/20
2018-04-20 5:54,7.43,17.57,6.99,2018/04/20
2018-04-20 6:54,8.94,21.52,8.17,2018/04/20
2018-04-20 7:54,10.01,24.83,9.34,2018/04/20
2018-04-20 8:54,11.44,26.84,10.51,2018/04/20
2018-04-20 9:54,13.13,29.91,11.71,2018/04/20
2018-04-20 10:54,14.26,32.91,12.96,2018/04/20
2018-04-20 11:54,15.84,35.94,14.08,2018/04/20
2018-04-20 12:54,17.01,40.17,15.05,2018/04/20
2018-04-20 13:54,18.66,43.61,16.02,2018/04/20
2018-04-20 14:54,19.79,46.05,16.99,2018/04/20
2018-04-20 15:54,21.63,49.44,17.95,2018/04/20
2018-04-20 16:54,23.03,53.64,18.92,2018/04/20
2018-04-20 17:54,24.64,56.05,19.89,2018/04/20
2018-04-20 18:54,25.8,59.37,20.86,2018/04/20
2018-04-20 19:54,27.34,62.67,21.84,2018/04/20
2018-04-20 20:54,28.46,66.51,22.81,2018/04/20
2018-04-20 21:54,30.04,68.71,23.78,2018/04/20
2018-04-20 22:54,31.26,72.02,24.75,2018/04/20
2018-04-20 23:54,0,---,---,2018/04/20
2018-04-21 0:54,1.36,2.95,0.89,2018/04/21
2018-04-21 1:54,2.91,5.46,1.86,2018/04/21
2018-04-21 2:54,3.98,8.85,2.83,2018/04/21
2018-04-21 3:54,5.72,12.42,3.8,2018/04/21
2018-04-21 4:54,6.96,14.9,4.77,2018/04/21
2018-04-21 5:54,8.62,18.64,5.73,2018/04/21
2018-04-21 6:54,9.99,21.96,6.7,2018/04/21
2018-04-21 7:54,11.45,24.57,7.66,2018/04/21
2018-04-21 8:54,12.86,27.58,8.62,2018/04/21
2018-04-21 9:54,14.26,31.03,9.58,2018/04/21
2018-04-21 10:54,15.78,33.95,10.54,2018/04/21
2018-04-21 11:54,17.18,36.05,11.49,2018/04/21
2018-04-21 12:54,18.79,39.7,12.45,2018/04/21
2018-04-21 13:54,19.97,42.75,13.4,2018/04/21
2018-04-21 14:54,21.82,46.59,14.36,2018/04/21
2018-04-21 15:54,23.38,50.09,15.31,2018/04/21
2018-04-21 16:54,25.55,52.36,16.27,2018/04/21
2018-04-21 17:54,27.65,55.69,17.22,2018/04/21
2018-04-21 18:54,29.65,58.83,18.18,2018/04/21
2018-04-21 19:54,31.37,61.67,19.14,2018/04/21
2018-04-21 20:54,32.61,63.95,20.09,2018/04/21
2018-04-21 21:54,34.17,66.88,21.05,2018/04/21
2018-04-21 22:54,35.44,70.04,22.01,2018/04/21
2018-04-21 23:54,0,---,---,2018/04/21
2018-04-22 0:54,1.29,2.8,0.89,2018/04/22
2018-04-22 1:54,2.86,5.69,1.85,2018/04/22
2018-04-22 2:54,3.99,8.89,2.82,2018/04/22
2018-04-22 3:54,5.85,12.23,3.78,2018/04/22
2018-04-22 4:54,7.09,15.81,4.75,2018/04/22
2018-04-22 5:54,8.95,19.4,5.72,2018/04/22
2018-04-22 6:54,10.86,22.88,6.69,2018/04/22
2018-04-22 7:54,11.96,26.1,7.65,2018/04/22
2018-04-22 8:54,13.31,29.11,8.61,2018/04/22
2018-04-22 9:54,14.91,32.12,9.62,2018/04/22
2018-04-22 10:54,16.45,35.26,10.82,2018/04/22
2018-04-22 11:54,18,38.76,11.82,2018/04/22
2018-04-22 12:54,19.48,42.08,13.39,2018/04/22
2018-04-22 13:54,21.64,45.32,14.96,2018/04/22
2018-04-22 14:54,24.26,48.14,16.53,2018/04/22
2018-04-22 15:54,25.97,51.39,18.11,2018/04/22
2018-04-22 16:54,29.31,54.8,19.67,2018/04/22
2018-04-22 17:54,31.97,57.76,21.24,2018/04/22
2018-04-22 18:54,40.96,60.66,22.81,2018/04/22
2018-04-22 19:54,58.74,64.24,24.37,2018/04/22
2018-04-22 20:54,71.82,67.45,25.94,2018/04/22
2018-04-22 21:54,88.78,70.91,27.51,2018/04/22
2018-04-22 22:54,104.23,74.58,29.08,2018/04/22
2018-04-22 23:54,0,---,---,2018/04/22
2018-04-23 0:54,15.68,2.09,1.45,2018/04/23
2018-04-23 1:54,32.66,6.6,3.03,2018/04/23
2018-04-23 2:54,35.92,10.15,4.62,2018/04/23
2018-04-23 3:54,38.07,12.19,6.19,2018/04/23
2018-04-23 4:54,39.98,15.39,7.77,2018/04/23
2018-04-23 5:54,41.91,18.41,9.34,2018/04/23
2018-04-23 6:54,43.96,21.49,10.91,2018/04/23
2018-04-23 7:54,45.94,24.55,12.47,2018/04/23
2018-04-23 8:54,47.88,27.29,14.02,2018/04/23
2018-04-23 9:54,49.33,31.4,15.57,2018/04/23
2018-04-23 10:54,51.9,35.23,17.19,2018/04/23
2018-04-23 11:54,54.56,39.81,19.3,2018/04/23
2018-04-23 12:54,57.53,44.44,21.42,2018/04/23
2018-04-23 13:54,60.56,48.12,23.29,2018/04/23
2018-04-23 14:54,63.67,51.15,25.09,2018/04/23
2018-04-23 15:54,66.36,54.4,27.15,2018/04/23
2018-04-23 16:54,68.42,58.37,28.95,2018/04/23
2018-04-23 17:54,70.56,62.12,30.68,2018/04/23
2018-04-23 18:54,72.84,67.03,32.4,2018/04/23
2018-04-23 19:54,74.93,70.29,34.12,2018/04/23
2018-04-23 20:54,76.88,73.3,35.85,2018/04/23
2018-04-23 21:54,78.92,77.83,37.58,2018/04/23
2018-04-23 22:54,80.95,82.74,39.31,2018/04/23
2018-04-23 23:54,0,---,---,2018/04/23
2018-04-24 0:54,2.12,2.82,1.6,2018/04/24
2018-04-24 1:54,4,6.27,3.35,2018/04/24
2018-04-24 2:54,5.82,9.56,5.1,2018/04/24
2018-04-24 3:54,7.63,12.83,6.85,2018/04/24
2018-04-24 4:54,9.48,15.9,8.6,2018/04/24
2018-04-24 5:54,11.44,18.94,10.35,2018/04/24
2018-04-24 6:54,13.28,22.01,12.1,2018/04/24
2018-04-24 7:54,15.08,25.1,13.84,2018/04/24
2018-04-24 8:54,17.09,28.14,15.56,2018/04/24
2018-04-24 9:54,19.06,32.08,17.29,2018/04/24
2018-04-24 10:54,21.58,36.77,19.13,2018/04/24
2018-04-24 11:54,24.94,40.33,20.71,2018/04/24
2018-04-24 12:54,26.82,44.6,22.24,2018/04/24
2018-04-24 13:54,29.32,48.36,23.76,2018/04/24
2018-04-24 14:54,32.88,50.73,25.28,2018/04/24
2018-04-24 15:54,47.91,54.11,26.8,2018/04/24
2018-04-24 16:54,63.99,57.81,28.32,2018/04/24
2018-04-24 17:54,79.49,61.15,29.85,2018/04/24
2018-04-24 18:54,94.08,64.23,31.38,2018/04/24
2018-04-24 19:54,103.15,67.53,32.91,2018/04/24
2018-04-24 20:54,105.53,70.81,34.43,2018/04/24
2018-04-24 21:54,107.54,74.57,35.97,2018/04/24
2018-04-24 22:54,109.35,76.96,37.49,2018/04/24
2018-04-24 23:54,0,---,---,2018/04/24
2018-04-25 0:54,1.71,3.28,1.41,2018/04/25
2018-04-25 1:54,3.31,6.75,2.94,2018/04/25
2018-04-25 2:54,4.97,9.22,4.48,2018/04/25
2018-04-25 3:54,6.27,12,6.02,2018/04/25
2018-04-25 4:54,7.77,15.25,7.57,2018/04/25
2018-04-25 5:54,9.29,18.46,9.11,2018/04/25
2018-04-25 6:54,10.89,21.58,10.65,2018/04/25
2018-04-25 7:54,11.95,24.73,12.18,2018/04/25
2018-04-25 8:54,13.41,27.3,13.71,2018/04/25
2018-04-25 9:54,14.94,30.28,15.23,2018/04/25
2018-04-25 10:54,16.08,33.38,16.85,2018/04/25
2018-04-25 11:54,17.66,36.35,18.62,2018/04/25
2018-04-25 12:56,19.33,40.61,20.54,2018/04/25
2018-04-25 13:54,21,43.99,22.16,2018/04/25
2018-04-25 14:54,22.59,47.91,23.95,2018/04/25
2018-04-25 15:54,23.87,52.74,25.62,2018/04/25
2018-04-25 16:54,25.36,57.5,27.27,2018/04/25
2018-04-25 17:54,27.23,61.85,28.94,2018/04/25
2018-04-25 18:54,29.06,66,30.51,2018/04/25
2018-04-25 19:54,30.43,69.56,32.08,2018/04/25
2018-04-25 20:54,32.02,75.1,33.66,2018/04/25
2018-04-25 21:54,33.13,78.55,35.24,2018/04/25
2018-04-25 22:54,34.64,81.89,36.82,2018/04/25
2018-04-25 23:54,0,---,0,2018/04/25
2018-04-26 0:54,1.48,2.7,1.58,2018/04/26
2018-04-26 1:54,3.07,5.95,3.16,2018/04/26
2018-04-26 2:54,4.14,8.88,4.74,2018/04/26
2018-04-26 3:54,5.73,12.28,6.32,2018/04/26
2018-04-26 4:54,7.05,15.52,7.9,2018/04/26
2018-04-26 5:54,7.59,16.79,8.69,2018/04/26
2018-04-26 6:54,9.54,21.71,11.06,2018/04/26
2018-04-26 7:54,11,24.89,12.63,2018/04/26
2018-04-26 8:54,12.4,28.14,14.19,2018/04/26
2018-04-26 9:54,13.63,30.9,15.79,2018/04/26
2018-04-26 10:54,15.18,34.31,17.68,2018/04/26
2018-04-26 11:54,16.47,37.65,19.65,2018/04/26
2018-04-26 12:54,18.32,41.08,21.62,2018/04/26
2018-04-26 13:54,19.85,44.59,23.3,2018/04/26
2018-04-26 14:54,21.27,48.18,25.05,2018/04/26
2018-04-26 15:54,23.05,51.3,26.98,2018/04/26
2018-04-26 16:54,24.21,55.32,28.94,2018/04/26
2018-04-26 17:54,25.92,59.15,30.76,2018/04/26
2018-04-26 18:54,27.21,62.61,32.22,2018/04/26
2018-04-26 19:54,28.9,65.91,33.53,2018/04/26
2018-04-26 20:54,30.17,69.16,34.71,2018/04/26
2018-04-26 21:54,31.95,73.22,35.78,2018/04/26
2018-04-26 22:54,33.31,76.2,36.85,2018/04/26
2018-04-26 23:54,0,0,0,2018/04/26
2018-04-27 0:54,1.13,3.86,1.07,2018/04/27
2018-04-27 1:54,2.97,7.68,2.15,2018/04/27
2018-04-27 2:54,4.49,11.01,3.22,2018/04/27
2018-04-27 3:54,5.9,14.28,4.3,2018/04/27
2018-04-27 4:54,7.04,17.42,5.37,2018/04/27
2018-04-27 5:54,8.83,21.4,6.44,2018/04/27
2018-04-27 6:54,10.25,24.56,7.5,2018/04/27
2018-04-27 7:54,11.67,27.66,8.56,2018/04/27
2018-04-27 8:54,13.28,31.48,9.62,2018/04/27
2018-04-27 9:54,14.67,34.63,10.68,2018/04/27
2018-04-27 10:54,16.34,38.91,12,2018/04/27
2018-04-27 11:54,17.53,43.76,13.28,2018/04/27
2018-04-27 12:54,19.18,47.74,14.51,2018/04/27
2018-04-27 13:54,20.93,51.15,15.88,2018/04/27
2018-04-27 14:54,22.38,55.36,17.1,2018/04/27
2018-04-27 15:54,23.89,59.51,18.44,2018/04/27
2018-04-27 16:54,25.46,63.69,19.75,2018/04/27
2018-04-27 17:54,27.09,67.76,21.11,2018/04/27
2018-04-27 18:54,28.6,71.57,22.5,2018/04/27
2018-04-27 19:54,29.93,74.37,23.91,2018/04/27
2018-04-27 20:54,31.07,77.99,25.1,2018/04/27
2018-04-27 21:54,31.76,80.81,26.17,2018/04/27
2018-04-27 22:54,33.35,84.39,27.24,2018/04/27
2018-04-27 23:54,---,0,0,2018/04/27
2018-04-28 0:54,1.06,3.43,1.07,2018/04/28
2018-04-28 1:54,2.15,6.17,2.15,2018/04/28
2018-04-28 2:54,3.3,9.59,3.22,2018/04/28
2018-04-28 3:54,4.45,12.37,4.3,2018/04/28
2018-04-28 4:54,5.53,15.83,5.37,2018/04/28
2018-04-28 5:54,6.65,18.63,6.44,2018/04/28
2018-04-28 6:54,7.76,21.96,7.51,2018/04/28
2018-04-28 7:54,9.23,24.9,8.57,2018/04/28
2018-04-28 8:54,10.23,27.79,9.64,2018/04/28
2018-04-28 9:54,11.43,31.39,10.69,2018/04/28
2018-04-28 10:54,12.98,35.56,11.79,2018/04/28
2018-04-28 11:54,14.03,38.05,12.85,2018/04/28
2018-04-28 12:54,15.14,40.34,13.91,2018/04/28
2018-04-28 13:54,16.15,43.3,14.98,2018/04/28
2018-04-28 14:54,17.72,45.99,16.04,2018/04/28
2018-04-28 15:54,18.76,48.51,17.1,2018/04/28
2018-04-28 16:54,20.01,51.62,18.17,2018/04/28
2018-04-28 17:54,21.37,54.23,19.23,2018/04/28
2018-04-28 18:54,22.58,58.2,20.29,2018/04/28
2018-04-28 19:54,23.88,61.43,21.35,2018/04/28
2018-04-28 20:54,25.21,64.88,22.42,2018/04/28
2018-04-28 21:54,26.53,68.56,23.48,2018/04/28
2018-04-28 22:54,27.65,71.88,24.55,2018/04/28
2018-04-28 23:54,---,0,0,2018/04/28
2018-04-29 0:54,1.15,3.62,1.07,2018/04/29
2018-04-29 1:54,2.73,6.45,2.14,2018/04/29
2018-04-29 2:54,3.88,9.41,3.22,2018/04/29
2018-04-29 3:54,5.46,12.81,4.3,2018/04/29
2018-04-29 4:54,6.66,15.54,5.37,2018/04/29
2018-04-29 5:54,8.2,19.04,6.44,2018/04/29
2018-04-29 6:54,9.45,21.84,7.51,2018/04/29
2018-04-29 7:54,10.88,24.91,8.58,2018/04/29
2018-04-29 8:54,12.08,28.05,9.64,2018/04/29
2018-04-29 9:54,13.49,30.68,10.7,2018/04/29
2018-04-29 10:54,14.98,33.96,11.76,2018/04/29
2018-04-29 11:54,16,36.68,12.82,2018/04/29
2018-04-29 12:54,17.63,39.5,13.88,2018/04/29
2018-04-29 13:54,18.75,43.04,14.93,2018/04/29
2018-04-29 14:54,20.34,46.15,15.99,2018/04/29
2018-04-29 15:54,21.58,49.85,17.22,2018/04/29
2018-04-29 16:54,23.23,53.41,18.57,2018/04/29
2018-04-29 17:54,24.29,56.94,19.96,2018/04/29
2018-04-29 18:54,25.5,60.47,21.34,2018/04/29
2018-04-29 19:54,27.1,63.83,22.51,2018/04/29
2018-04-29 20:54,28.36,66.63,23.55,2018/04/29
2018-04-29 21:54,29.87,69.74,24.59,2018/04/29
2018-04-29 22:54,31.13,72.97,25.64,2018/04/29
2018-04-29 23:54,---,0,0,2018/04/29
2018-04-30 0:54,1.58,2.99,1.05,2018/04/30
2018-04-30 1:54,2.83,6.26,2.1,2018/04/30
2018-04-30 2:54,3.98,9.06,3.16,2018/04/30
2018-04-30 3:54,5.46,12.07,4.22,2018/04/30
2018-04-30 4:54,6.71,15.31,5.27,2018/04/30
2018-04-30 5:54,7.84,18.04,6.33,2018/04/30
2018-04-30 6:54,9.49,21.17,7.39,2018/04/30
2018-04-30 7:54,10.66,24.22,8.44,2018/04/30
2018-04-30 8:54,12.15,26.89,9.48,2018/04/30
2018-04-30 9:54,13.27,30.41,10.64,2018/04/30
2018-04-30 10:54,14.89,33.23,11.96,2018/04/30
2018-04-30 11:54,15.96,36.2,13.31,2018/04/30
2018-04-30 12:54,17.81,39.81,14.62,2018/04/30
2018-04-30 13:54,19.22,42.79,15.82,2018/04/30
2018-04-30 14:54,20.77,48.33,17.01,2018/04/30
2018-04-30 15:54,22.61,53.18,18.33,2018/04/30
2018-04-30 16:54,24.03,56.45,19.8,2018/04/30
2018-04-30 17:54,25.81,60.86,21.56,2018/04/30
2018-04-30 18:54,27.03,64.35,23.21,2018/04/30
2018-04-30 19:54,28.67,69.44,24.85,2018/04/30
2018-04-30 20:54,30.28,73.23,26.54,2018/04/30
2018-04-30 21:54,31.71,76.28,28.18,2018/04/30
2018-04-30 22:54,33.37,79.76,29.82,2018/04/30
2018-04-30 23:54,---,0,0,2018/04/30
2018-05-01 0:54,1.35,3.05,1.64,2018/05/01
2018-05-01 1:54,2.74,6.18,3.28,2018/05/01
2018-05-01 2:54,4.24,8.96,4.92,2018/05/01
2018-05-01 3:54,5.45,11.89,6.55,2018/05/01
2018-05-01 4:54,6.94,15.3,8.19,2018/05/01
2018-05-01 5:54,8.02,18.12,9.82,2018/05/01
2018-05-01 6:54,9.28,20.91,11.45,2018/05/01
2018-05-01 7:54,10.8,24.2,13.08,2018/05/01
2018-05-01 8:54,12.03,27.9,14.69,2018/05/01
2018-05-01 9:54,13.5,30.58,16.42,2018/05/01
2018-05-01 10:54,15.16,33.78,18.26,2018/05/01
2018-05-01 11:54,16.74,36.83,20.18,2018/05/01
2018-05-01 12:54,18.15,40.28,22.05,2018/05/01
2018-05-01 13:54,20.28,43.51,23.88,2018/05/01
2018-05-01 14:54,22.89,48.08,25.79,2018/05/01
2018-05-01 15:54,26.7,52.88,27.69,2018/05/01
2018-05-01 16:54,28.18,57.58,29.45,2018/05/01
2018-05-01 17:54,31.04,60.36,31.36,2018/05/01
2018-05-01 18:54,34.05,63.36,33.19,2018/05/01
2018-05-01 19:54,36.49,66.05,34.96,2018/05/01
2018-05-01 20:54,38.24,68.94,36.84,2018/05/01
2018-05-01 21:54,39.68,72.27,38.49,2018/05/01
2018-05-01 22:54,41.61,77.33,40.13,2018/05/01
2018-05-01 23:54,0,---,---,2018/05/01
2018-05-02 0:54,2.11,2.79,1.49,2018/05/02
2018-05-02 1:54,3.4,5.49,3.12,2018/05/02
2018-05-02 2:54,5.44,9.3,4.75,2018/05/02
2018-05-02 3:54,7.26,12.33,6.38,2018/05/02
2018-05-02 4:54,8.88,15.55,8.02,2018/05/02
2018-05-02 5:54,10.32,18.2,9.65,2018/05/02
2018-05-02 6:54,12.2,20.82,11.28,2018/05/02
2018-05-02 7:54,14.03,24.22,12.91,2018/05/02
2018-05-02 8:54,15.52,27.72,14.52,2018/05/02
2018-05-02 9:54,17.61,30.43,16.26,2018/05/02
2018-05-02 10:54,19.56,33.89,18.09,2018/05/02
2018-05-02 11:54,21.4,37.55,20.06,2018/05/02
2018-05-02 12:54,23.86,40.48,21.93,2018/05/02
2018-05-02 13:54,26.09,43.33,23.59,2018/05/02
2018-05-02 14:54,28.3,49.65,25.46,2018/05/02
2018-05-02 15:54,30.79,54.29,27.41,2018/05/02
2018-05-02 16:54,33.02,57.51,29.25,2018/05/02
2018-05-02 17:54,36.61,62.23,31.02,2018/05/02
2018-05-02 18:54,39.89,65.79,32.69,2018/05/02
2018-05-02 19:54,43.28,70.35,34.35,2018/05/02
2018-05-02 20:54,45.67,73.92,35.94,2018/05/02
2018-05-02 21:54,47.55,77,37.46,2018/05/02
2018-05-02 22:54,48.96,79.91,38.98,2018/05/02
2018-05-02 23:54,0,---,---,2018/05/02
2018-05-03 0:54,1.43,2.81,1.39,2018/05/03
2018-05-03 1:54,3.26,5.46,2.92,2018/05/03
2018-05-03 2:54,4.58,8.29,4.45,2018/05/03
2018-05-03 3:54,6.21,11.43,5.98,2018/05/03
2018-05-03 4:54,7.67,14.11,7.51,2018/05/03
2018-05-03 5:54,8.89,17.73,9.04,2018/05/03
2018-05-03 6:54,10.66,20.6,10.57,2018/05/03
2018-05-03 7:54,11.89,23.38,12.1,2018/05/03
2018-05-03 8:54,13.71,26,13.62,2018/05/03
2018-05-03 9:54,14.93,29.25,15.14,2018/05/03
2018-05-03 10:54,16.59,33.27,16.66,2018/05/03
2018-05-03 11:54,17.65,38.18,18.19,2018/05/03
